date,sales
2024-01-01,70.1266812345464
2024-01-02,102.62296151885613
2024-01-03,165.9515303351929
2024-01-04,142.6141999901226
2024-01-05,121.68383213867665
2024-01-06,65.49101521179645
2024-01-07,53.26340848467278
2024-01-08,120.73539155809372
2024-01-09,189.91533065203714
2024-01-10,155.34473315015396
2024-01-11,161.39612542307916
2024-01-12,97.59936931899688
2024-01-13,76.04605441092808
2024-01-14,51.768123655509335
2024-01-15,123.65728560540326
2024-01-16,176.72117754604776
2024-01-17,206.62388788583752
2024-01-18,193.83392787258788
2024-01-19,79.17880091913884
2024-01-20,63.51540205626699
2024-01-21,80.14332271170984
2024-01-22,180.80486609550786
2024-01-23,249.46230401383835
2024-01-24,226.43356026331622
2024-01-25,242.26189052450076
2024-01-26,141.31555970360563
2024-01-27,115.78549677098394
2024-01-28,91.40491437563975
2024-01-29,147.63675173775977
2024-01-30,184.0792431230131
2024-01-31,221.71239621846706
2024-02-01,169.96127489851028
2024-02-02,157.85442375607838
2024-02-03,122.53334110449661
2024-02-04,115.87722724424712
2024-02-05,212.46159020539613
2024-02-06,196.12132517139395
2024-02-07,197.24315545727873
2024-02-08,167.38266714243048
2024-02-09,162.75197457016526
2024-02-10,181.32725733448396
2024-02-11,108.84868067600394
2024-02-12,198.78151278141132
2024-02-13,260.65309892698764
2024-02-14,278.6387702649982
2024-02-15,176.37940563613793
2024-02-16,162.16677475565618
2024-02-17,129.16948939477888
2024-02-18,152.55364903084552
2024-02-19,243.5667920029614
2024-02-20,269.89533519044545
2024-02-21,230.84912221927902
2024-02-22,183.07426775670763
2024-02-23,119.47357644237799
2024-02-24,184.50692337739503
2024-02-25,202.14342512179
2024-02-26,196.66429188073838
2024-02-27,274.1755829585982
2024-02-28,256.3986199810865
2024-02-29,210.98697467059296
2024-03-01,148.59428176258868
2024-03-02,234.67769912912905
2024-03-03,190.16840149870387
2024-03-04,193.07785158630907
2024-03-05,231.81567087735834
2024-03-06,243.9384713555165
2024-03-07,198.0411977837359
2024-03-08,177.73194700276582
2024-03-09,140.11895060019395
2024-03-10,183.48796727064195
2024-03-11,180.62097662259427
2024-03-12,277.6752723349251
2024-03-13,323.376922956732
2024-03-14,260.2359133794373
2024-03-15,175.66250510792577
2024-03-16,159.94676837955606
2024-03-17,166.99673409156426
2024-03-18,202.6042574814039
2024-03-19,298.44174879699483
2024-03-20,194.64938089405882
2024-03-21,313.5768704838411
2024-03-22,239.76413624194805
2024-03-23,215.0138184804202
2024-03-24,254.09739345639724
2024-03-25,262.62658920389913
2024-03-26,275.32217976914956
2024-03-27,275.05378963530643
2024-03-28,264.62464283130856
2024-03-29,224.41730500447485
2024-03-30,132.89042068508655
2024-03-31,216.95517170541729
2024-04-01,294.93547427964245
2024-04-02,267.13337310268224
2024-04-03,331.70556429244976
2024-04-04,313.4834864431356
2024-04-05,214.2231476683124
2024-04-06,205.69858934071394
2024-04-07,177.92529779093283
2024-04-08,266.20774096235476
2024-04-09,277.68078929306506
2024-04-10,298.9014774599547
2024-04-11,273.05893395847113
2024-04-12,267.25396784767725
2024-04-13,213.0230324873881
2024-04-14,194.18094092377058
2024-04-15,252.46142852251444
2024-04-16,283.36365965904105
2024-04-17,316.6783801535075
2024-04-18,339.8516701366733
2024-04-19,308.81408109153125
2024-04-20,193.97409223855803
2024-04-21,242.68023197664604
2024-04-22,198.8858246937304
2024-04-23,288.80234073494915
2024-04-24,312.47075791725143
2024-04-25,336.99416466475884
2024-04-26,217.98373351378157
2024-04-27,182.85266591017216
2024-04-28,215.05322408299403
2024-04-29,239.24364491273198
2024-04-30,304.15920020446777
2024-05-01,290.04005912727234
2024-05-02,238.86005609638332
2024-05-03,229.86785316394014
2024-05-04,208.40691886675856
2024-05-05,151.3227708316576
2024-05-06,210.25216436186366
2024-05-07,278.54558267650003
2024-05-08,300.1346947611153
2024-05-09,247.83301322022174
2024-05-10,240.48380764487158
2024-05-11,174.22311359201987
2024-05-12,210.6636778472361
